Particle#,Stick Time,Row,Column
1,0.07741999626159668,100,99
2,0.3139028549194336,101,100
3,0.3346710205078125,102,100
4,0.08279705047607422,102,99
5,0.17500019073486328,103,100
6,0.08951807022094727,102,98
7,0.6617238521575928,102,101
8,0.11231803894042969,100,99
9,0.15543413162231445,103,101
10,0.0484919548034668,102,97
11,0.8899369239807129,103,97
12,0.5762720108032227,102,102
13,0.04305887222290039,102,103
14,0.19075298309326172,101,102
15,0.4532279968261719,103,96
16,0.2546350955963135,102,96
17,0.3433859348297119,103,95
18,0.25009584426879883,103,94
19,0.46726489067077637,104,94
20,0.46428704261779785,100,100
21,0.06919384002685547,102,96
22,0.22898101806640625,104,95
23,0.33380794525146484,104,100
24,0.06157708168029785,99,100
25,0.06668496131896973,102,94
26,0.36667299270629883,104,101
27,0.08424496650695801,104,95
28,0.05118584632873535,100,100
29,0.1898360252380371,105,101
30,0.1986370086669922,99,101
31,0.04629087448120117,106,101
32,0.13146305084228516,103,93
33,0.40958189964294434,105,100
34,0.1978600025177002,98,101
35,0.20054101943969727,101,103
36,0.13586211204528809,106,101
37,0.6290228366851807,104,95
38,0.5666599273681641,102,94
39,0.21593880653381348,102,97
40,0.40383195877075195,100,102
41,0.2129809856414795,105,95
42,0.308197021484375,104,97
43,0.13077998161315918,106,100
44,0.026865005493164062,105,96
45,0.057539939880371094,107,101
46,0.1706688404083252,106,100
47,0.1034860610961914,103,100
48,0.6011590957641602,106,100
49,0.08396506309509277,98,102
50,0.2331681251525879,97,102
51,0.057363033294677734,107,100
52,0.6533610820770264,102,94
53,0.6832020282745361,98,102
54,0.2176508903503418,99,99
55,0.11228585243225098,104,94
56,0.3251650333404541,102,94
57,0.0664370059967041,98,102
58,0.24239206314086914,97,102
59,0.3732428550720215,103,103
60,0.09882712364196777,103,104
61,0.29784393310546875,97,103
62,0.21189594268798828,106,102
63,0.17425799369812012,104,104
64,0.05524611473083496,96,103
65,0.13538789749145508,103,92
66,0.13393497467041016,103,91
67,0.9744300842285156,107,99
68,0.09160709381103516,106,102
69,0.1064300537109375,101,102
70,0.372028112411499,96,102
71,0.10710310935974121,104,105
72,0.09957289695739746,106,103
73,0.2856588363647461,106,104
74,0.23224687576293945,101,103
75,0.3285801410675049,108,101
76,0.23682785034179688,108,102
77,0.15190410614013672,101,97
78,0.33164191246032715,102,104
79,0.05346107482910156,102,91
80,0.10139083862304688,95,103
81,0.2634150981903076,104,91
82,0.0912940502166748,95,104
83,0.020684003829956055,101,104
84,0.4167160987854004,106,105
85,0.10898017883300781,98,100
86,0.08297395706176758,96,101
87,0.1960620880126953,102,90
88,0.5597789287567139,107,100
89,0.015398025512695312,101,105
90,0.012154102325439453,102,104
91,0.017022132873535156,95,102
92,0.11927008628845215,106,101
93,0.03750205039978027,94,102
94,0.3193981647491455,94,101
95,0.35709214210510254,102,91
96,0.5044138431549072,95,105
97,0.1612401008605957,105,95
98,0.20038414001464844,103,92
99,0.2620580196380615,95,106
100,0.2962489128112793,105,105
101,0.015624046325683594,104,90
102,0.04621291160583496,101,90
103,0.062399864196777344,94,106
104,0.3096630573272705,108,100
105,0.09936094284057617,107,98
106,0.053314924240112305,102,92
107,0.18318891525268555,108,98
108,0.06012392044067383,95,105
109,0.1683979034423828,104,105
110,0.15760302543640137,102,92
111,0.19274187088012695,105,91
112,0.03922605514526367,100,90
113,0.08515715599060059,93,106
114,0.16113901138305664,98,100
115,0.1740589141845703,104,91
116,1.1002979278564453,93,106
117,0.5510809421539307,107,101
118,0.2334129810333252,93,106
119,0.19213604927062988,109,98
120,0.11841917037963867,101,106
121,0.5727870464324951,107,104
122,0.1416480541229248,106,96
123,0.07271504402160645,102,89
124,0.7900099754333496,109,99
125,0.14609813690185547,109,102
126,0.5235278606414795,107,105
127,0.028071880340576172,105,91
128,0.09862518310546875,99,102
129,0.42400693893432617,94,102
130,0.03969216346740723,110,98
131,0.06997823715209961,102,89
132,0.21574783325195312,107,105
133,0.11382603645324707,102,91
134,0.2908909320831299,96,105
135,0.037529945373535156,102,89
136,0.3191490173339844,109,101
137,0.02738189697265625,109,102
138,0.02354288101196289,104,89
139,1.220546007156372,102,90
