Particle#,Stick Time,Row,Column
1,0.23675107955932617,99,100
2,0.08593606948852539,99,101
3,0.903062105178833,99,99
4,0.1900789737701416,100,101
5,0.9956769943237305,99,101
6,0.06196784973144531,98,101
7,0.06020808219909668,99,98
8,0.14919114112854004,99,97
9,0.030319929122924805,98,97
10,0.013672113418579102,100,102
11,0.25037097930908203,99,102
12,0.12242007255554199,100,97
13,0.03664803504943848,97,97
14,0.3616068363189697,100,103
15,0.14608001708984375,99,97
16,0.03338193893432617,97,101
17,0.4144408702850342,101,103
18,0.2195889949798584,100,96
19,0.027924060821533203,102,103
20,0.3307321071624756,98,96
21,0.22061800956726074,97,98
22,0.9300498962402344,101,97
23,0.7728610038757324,101,98
24,0.23113083839416504,100,95
25,0.25056004524230957,103,103
26,0.18673086166381836,103,103
27,0.5179011821746826,98,95
28,0.10516810417175293,104,103
29,0.20535898208618164,98,94
30,0.16152501106262207,99,103
31,0.02735304832458496,98,93
32,0.19768309593200684,100,94
33,0.41313910484313965,102,104
34,0.1407780647277832,98,92
35,0.022134065628051758,99,104
36,0.1252589225769043,105,103
37,0.5921750068664551,99,92
38,0.499891996383667,105,104
39,0.05713987350463867,97,96
40,0.4352071285247803,100,92
41,0.1381359100341797,101,94
42,0.24928593635559082,102,105
43,0.11011600494384766,101,94
44,0.027299880981445312,98,91
45,0.7079319953918457,99,105
46,0.013879060745239258,106,103
47,0.03945183753967285,102,106
48,0.21486806869506836,101,96
49,0.15082097053527832,97,92
50,0.039131879806518555,106,102
51,0.0950770378112793,106,103
52,0.08332014083862305,96,101
53,0.07471084594726562,98,105
54,0.13909411430358887,107,103
55,0.09100914001464844,99,106
56,0.03530097007751465,108,103
57,0.08012700080871582,97,102
58,0.2099919319152832,98,90
59,0.1223459243774414,109,103
60,0.2168431282043457,101,92
61,0.04491686820983887,100,91
62,0.1832740306854248,97,90
63,0.1214900016784668,109,104
64,0.05761384963989258,100,106
65,0.04968404769897461,96,98
66,0.19081497192382812,109,103
67,0.2127518653869629,108,102
68,0.14052510261535645,108,101
69,0.14458394050598145,103,105
70,0.4795529842376709,97,96
71,1.0217409133911133,95,101
72,0.4521181583404541,98,90
73,0.13635802268981934,102,97
74,0.17220687866210938,110,103
75,0.04472994804382324,96,90
76,0.7010898590087891,100,107
77,0.015403032302856445,109,101
78,0.6217091083526611,102,97
79,0.011262178421020508,95,90
80,0.10271096229553223,95,100
81,0.023692846298217773,94,90
82,0.09846687316894531,95,90
83,0.25258588790893555,111,103
84,0.0505831241607666,93,90
85,0.16215991973876953,98,89
86,0.04820108413696289,92,90
87,0.5797069072723389,99,89
88,0.5179400444030762,100,108
89,0.14854097366333008,107,101
90,0.08714413642883301,109,101
91,0.2028520107269287,99,88
92,0.9255638122558594,97,105
93,0.15327787399291992,101,91
94,0.24480104446411133,98,88
95,0.10509800910949707,98,88
96,0.10804390907287598,111,104
97,0.27477288246154785,99,87
98,0.06425714492797852,95,102
99,0.4407229423522949,101,108
100,0.4438939094543457,101,109
101,0.07724595069885254,100,109
102,0.21632885932922363,109,105
