Particle#,Stick Time,Row,Column
1,2.3647329807281494,99,100
2,0.32034993171691895,100,101
3,1.1148018836975098,100,99
4,0.49933791160583496,99,101
5,0.44555091857910156,101,99
6,0.11172890663146973,98,101
7,0.516711950302124,99,101
8,0.05159616470336914,99,101
9,0.09520411491394043,100,101
10,0.32039904594421387,98,102
11,0.17052817344665527,97,102
12,0.29146289825439453,98,102
13,0.14005589485168457,99,102
14,0.2272961139678955,100,99
15,0.14096903800964355,99,99
16,0.20549821853637695,98,99
17,0.2853889465332031,99,101
18,0.08388113975524902,100,102
19,0.0821080207824707,101,100
20,0.29137206077575684,99,101
21,0.17807388305664062,102,100
22,0.3071908950805664,102,99
23,0.03427410125732422,100,101
24,1.1926450729370117,99,103
25,0.36914491653442383,101,100
26,0.37009191513061523,98,101
27,1.1059949398040771,96,102
28,0.6431150436401367,102,98
29,0.793848991394043,100,99
30,0.23161602020263672,97,102
31,0.03533792495727539,102,98
32,0.04383397102355957,102,97
33,0.25255894660949707,101,97
34,0.04223895072937012,95,102
35,0.14720678329467773,98,102
36,0.07697510719299316,96,102
37,0.185960054397583,97,103
38,0.0925757884979248,95,102
39,0.18875694274902344,103,98
40,0.07144904136657715,102,100
41,0.39524388313293457,98,100
42,0.3729228973388672,95,103
43,0.7417018413543701,98,99
44,0.0762779712677002,94,103
45,0.3258688449859619,99,101
46,0.11806392669677734,99,102
47,0.19777894020080566,102,97
48,0.5044009685516357,94,104
49,0.7536609172821045,100,100
50,0.3689730167388916,100,101
51,0.6572699546813965,100,100
52,0.5326061248779297,96,103
53,0.03904080390930176,98,100
54,0.21408295631408691,102,97
55,0.18770217895507812,97,101
56,0.1009829044342041,102,98
57,0.25986480712890625,98,100
58,0.2331089973449707,96,103
59,0.6619448661804199,94,102
60,0.44649505615234375,103,98
61,0.2019798755645752,93,104
62,0.39293813705444336,101,98
63,0.17281413078308105,94,105
64,0.155548095703125,96,102
65,0.13028621673583984,100,103
66,0.22157502174377441,100,97
67,0.059892892837524414,93,105
68,0.3058931827545166,97,103
69,0.15027809143066406,100,96
70,0.11180281639099121,101,96
71,0.10776805877685547,103,97
72,0.10394001007080078,93,102
73,0.15752005577087402,102,97
74,0.0933690071105957,103,100
75,0.013689041137695312,94,101
76,0.1894237995147705,96,102
77,0.0141448974609375,102,101
78,0.10973405838012695,99,98
79,0.02095818519592285,99,97
80,1.127150058746338,93,104
81,0.28486204147338867,93,104
82,0.39510083198547363,104,100
83,0.3418278694152832,102,98
84,0.572411060333252,93,103
85,0.45218610763549805,93,102
86,0.0158689022064209,95,103
87,0.06706881523132324,104,98
