Particle#,Stick Time,Row,Column
1,1.369379997253418,101,100
2,0.02349996566772461,101,101
3,0.38631510734558105,100,101
4,0.2854640483856201,101,99
5,0.7108519077301025,101,99
6,1.0929582118988037,101,99
7,1.5209531784057617,101,98
8,0.5078029632568359,102,99
9,0.1100618839263916,100,102
10,0.09102582931518555,99,102
11,0.6120569705963135,99,101
12,0.021772146224975586,99,102
13,0.05427813529968262,102,100
14,0.04248499870300293,102,100
15,0.3462660312652588,100,102
16,0.18368291854858398,100,101
17,0.12320113182067871,98,102
18,0.1846160888671875,102,101
19,0.06437110900878906,98,101
20,0.9510509967803955,101,100
21,0.5757429599761963,102,100
22,0.15638399124145508,103,101
23,0.2275540828704834,98,102
24,0.2569601535797119,102,98
25,0.03818988800048828,97,102
26,0.3668670654296875,103,100
27,0.21924996376037598,104,101
28,0.24285316467285156,99,103
29,0.057157039642333984,102,99
30,0.6122050285339355,100,99
31,0.14320993423461914,104,101
32,0.11468005180358887,101,97
33,0.17204689979553223,101,99
34,0.2003920078277588,100,100
35,0.11001205444335938,101,101
36,0.34597206115722656,102,98
37,0.44413304328918457,104,100
38,0.2432858943939209,104,101
39,0.1389331817626953,103,99
40,0.16747117042541504,100,100
41,0.018255233764648438,98,101
42,0.055223941802978516,105,100
43,0.11663007736206055,102,98
44,0.30845212936401367,105,101
45,0.03128790855407715,99,102
46,0.46503686904907227,102,97
47,0.30644798278808594,102,96
48,0.07524490356445312,99,103
49,0.20218896865844727,103,100
50,0.3286609649658203,98,101
51,0.6713330745697021,103,98
52,0.07272887229919434,96,102
53,0.09704208374023438,106,101
54,0.021352052688598633,102,98
55,0.09038901329040527,100,98
56,0.34504103660583496,100,98
57,0.126723051071167,105,99
58,0.5942459106445312,96,103
59,0.22093582153320312,105,100
60,0.39619994163513184,103,102
61,0.013435125350952148,97,102
62,0.3559250831604004,99,100
63,0.6514749526977539,100,103
64,0.0517888069152832,95,103
65,0.1917119026184082,96,101
66,0.21842479705810547,100,101
67,0.056463003158569336,99,102
68,0.24446606636047363,103,101
69,0.1258249282836914,102,102
70,0.8267209529876709,105,100
71,0.7116119861602783,96,103
72,0.04462003707885742,107,101
73,0.48096203804016113,99,99
74,0.038745880126953125,107,100
75,0.27010202407836914,94,103
76,0.1366441249847412,103,98
77,0.038713932037353516,100,100
78,0.044966936111450195,108,101
79,0.1132049560546875,103,102
80,0.2311100959777832,101,98
81,0.11616778373718262,101,101
82,0.08191204071044922,95,101
83,0.05249214172363281,98,99
84,0.33402204513549805,106,99
85,0.036010026931762695,101,103
86,0.21992993354797363,103,98
87,0.22627592086791992,98,103
88,0.5025029182434082,102,96
89,0.21344399452209473,104,101
90,0.2831730842590332,108,100
91,0.08614802360534668,106,102
92,0.15807700157165527,94,103
93,0.05376601219177246,97,101
94,0.34134602546691895,100,99
95,0.5839660167694092,108,99
96,0.714414119720459,97,103
97,0.034571170806884766,108,100
98,0.29743194580078125,94,101
99,0.6389980316162109,97,102
100,0.014619112014770508,96,104
101,0.43025684356689453,103,98
102,0.2797060012817383,94,100
103,0.6222720146179199,108,100
104,0.6262979507446289,95,100
105,0.4794480800628662,107,102
106,0.2561979293823242,93,101
107,0.31104588508605957,96,101
108,0.067047119140625,95,101
109,0.12362790107727051,99,99
110,0.11908984184265137,95,104
111,0.39916300773620605,97,104
112,0.07812809944152832,105,98
113,0.11901283264160156,104,98
114,0.7132349014282227,93,100
115,1.340181827545166,94,99
116,0.09277081489562988,98,101
117,0.3359181880950928,93,102
118,0.1321430206298828,94,98
119,0.4343729019165039,101,102
120,0.021332979202270508,105,97
121,0.5356690883636475,97,101
122,0.12183618545532227,93,99
123,0.12558794021606445,102,103
124,0.553164005279541,108,101
125,0.038194894790649414,93,99
126,0.038105010986328125,107,99
127,0.05177879333496094,99,104
128,0.06348299980163574,98,98
129,0.6609771251678467,103,100
130,0.10466790199279785,103,96
131,0.07299280166625977,101,96
132,0.21578407287597656,102,102
133,0.09704399108886719,103,95
134,0.3427431583404541,99,103
135,0.24096202850341797,102,102
136,0.30777406692504883,94,100
137,0.027950048446655273,94,98
138,0.08264493942260742,96,104
139,0.2728581428527832,94,97
140,0.07880616188049316,94,96
141,0.2977259159088135,94,97
142,0.06471800804138184,107,102
143,0.09681010246276855,100,103
144,0.16128110885620117,102,96
145,0.07744503021240234,95,103
146,0.15264010429382324,108,99
147,0.3527028560638428,93,103
148,0.7921121120452881,97,104
149,0.10793614387512207,103,96
150,0.06313610076904297,92,102
151,0.42599010467529297,102,95
152,0.31677985191345215,107,101
153,0.015803813934326172,107,100
154,0.07250499725341797,93,101
155,0.4274561405181885,107,103
156,0.05582594871520996,95,105
157,0.23639607429504395,96,105
158,0.02787303924560547,108,99
159,0.5769820213317871,92,100
160,0.08073592185974121,105,102
161,0.046462059020996094,92,101
162,0.06768202781677246,93,102
163,0.06632685661315918,94,96
164,0.05693197250366211,98,104
165,0.35600996017456055,101,95
166,0.2554359436035156,107,102
167,0.1963040828704834,100,103
168,0.18399310111999512,93,97
169,0.04813790321350098,102,102
170,0.02742600440979004,105,103
171,0.13715219497680664,100,95
172,0.11446094512939453,102,96
173,0.1843090057373047,94,95
174,0.3183310031890869,92,103
175,0.3407759666442871,106,100
176,0.3957970142364502,102,95
177,0.2009439468383789,104,95
178,0.7256131172180176,92,101
179,0.08440017700195312,91,101
180,0.07983899116516113,98,104
181,0.1994338035583496,93,102
182,0.0745539665222168,97,104
183,0.5485889911651611,103,95
184,0.20467114448547363,102,95
185,0.3058359622955322,105,95
186,0.030936002731323242,106,102
187,0.1437389850616455,105,95
188,0.01902294158935547,108,98
189,0.5840740203857422,105,98
190,0.03321409225463867,99,105
191,0.29281020164489746,105,96
192,0.18800711631774902,92,97
193,0.5288560390472412,92,101
194,0.5434770584106445,92,99
195,0.14332890510559082,92,102
196,0.30434703826904297,95,96
197,0.3000807762145996,92,100
198,0.3750441074371338,93,96
199,0.11529779434204102,103,103
200,0.01452183723449707,108,103
201,0.015109062194824219,101,101
202,0.038520097732543945,92,96
203,0.2635641098022461,104,96
204,0.16925287246704102,94,94
205,0.3069899082183838,109,101
206,0.06329107284545898,105,95
207,0.10119104385375977,99,105
208,0.11731696128845215,93,103
209,0.09792208671569824,96,96
210,0.5392529964447021,94,103
211,0.23004579544067383,92,103
212,0.7172939777374268,98,100
213,0.055830955505371094,108,101
214,0.2461249828338623,93,100
215,0.16450285911560059,103,95
216,0.30401110649108887,94,96
217,0.3035621643066406,108,99
218,0.05807185173034668,93,96
219,0.07431817054748535,93,104
220,0.32144713401794434,92,95
221,0.04525399208068848,106,102
222,0.5149469375610352,102,103
223,0.04780888557434082,104,96
224,0.41492295265197754,91,103
225,0.16318011283874512,94,95
226,0.07652091979980469,99,105
227,0.13047504425048828,109,98
228,0.021815061569213867,95,105
229,0.07986712455749512,92,96
230,0.3818638324737549,108,97
231,0.0721139907836914,100,103
232,0.31644105911254883,107,104
233,0.2371358871459961,91,99
234,0.22259998321533203,108,104
235,0.46501994132995605,94,104
236,0.16574978828430176,105,100
237,0.15907907485961914,101,102
238,0.047293901443481445,92,96
239,0.023326873779296875,100,104
240,0.06460714340209961,96,104
241,0.0919959545135498,92,96
242,0.09836697578430176,106,103
243,0.025845050811767578,97,102
244,0.0698399543762207,108,99
245,0.2989969253540039,109,103
246,0.1872711181640625,98,102
247,0.2899200916290283,108,98
248,0.38823890686035156,110,101
249,0.3795630931854248,92,104
250,0.08792304992675781,105,103
251,0.09496188163757324,106,104
252,0.06293201446533203,99,105
253,0.5979259014129639,107,104
254,0.22029995918273926,105,96
255,0.011430978775024414,91,100
