Particle#,Stick Time,Row,Column
1,0.4089670181274414,100,101
2,1.2525761127471924,100,99
3,0.29451680183410645,100,98
4,0.38137006759643555,100,98
5,0.815284013748169,101,100
6,0.2910950183868408,101,98
7,0.021214962005615234,100,100
8,0.681696891784668,99,101
9,0.0941159725189209,102,100
10,0.5996899604797363,99,101
11,0.2795429229736328,103,100
12,0.12150692939758301,99,102
13,0.13534903526306152,101,98
14,0.4547419548034668,100,97
15,0.6746320724487305,103,99
16,0.08914780616760254,104,100
17,0.023591041564941406,99,98
18,0.17917394638061523,99,98
19,0.00940704345703125,100,102
20,0.43707895278930664,100,96
21,0.5662140846252441,101,102
22,0.09621787071228027,104,100
23,0.2505779266357422,98,98
24,0.2186129093170166,98,102
25,0.17806696891784668,105,100
26,0.10143208503723145,105,99
27,0.12013506889343262,100,95
28,0.45014286041259766,101,103
29,0.44940710067749023,97,102
30,0.060170888900756836,97,98
31,0.04845619201660156,96,98
32,0.0679330825805664,105,100
33,0.5764129161834717,106,100
34,0.23137998580932617,95,98
35,1.1055939197540283,97,97
36,0.010342836380004883,106,99
37,0.29188084602355957,107,99
38,0.18878602981567383,96,98
39,0.07919096946716309,94,98
40,0.2199568748474121,108,99
41,0.29555511474609375,107,98
42,0.09833502769470215,94,97
43,0.507835865020752,98,103
44,0.038861989974975586,108,99
45,0.042862892150878906,107,98
46,0.6599128246307373,97,103
47,0.1879420280456543,94,99
48,0.0466611385345459,101,101
49,0.35204577445983887,100,103
50,0.8685290813446045,107,99
51,0.3136558532714844,93,97
52,0.9556210041046143,97,104
53,0.33413100242614746,93,96
54,0.8355741500854492,108,98
55,0.14528989791870117,95,99
56,0.08437895774841309,107,97
57,0.3918490409851074,93,95
58,0.46010494232177734,93,99
59,0.23198819160461426,109,98
60,0.014930009841918945,107,100
61,0.15632915496826172,106,101
62,0.1592719554901123,107,96
63,0.06847786903381348,102,103
64,0.09987187385559082,110,98
65,0.0605320930480957,93,95
66,0.05744504928588867,99,100
67,0.2539348602294922,93,94
68,0.0919349193572998,111,98
69,0.06009817123413086,93,93
70,0.47824692726135254,92,97
71,0.2300128936767578,112,98
72,0.2607147693634033,93,93
73,0.21278619766235352,106,102
74,0.1619858741760254,106,103
75,0.9274308681488037,96,97
76,0.07067990303039551,113,98
77,0.11375713348388672,100,104
78,0.05484580993652344,94,93
79,0.06134986877441406,113,99
80,0.014456033706665039,105,103
81,0.08323502540588379,97,105
82,0.21238017082214355,107,95
83,0.02466297149658203,114,98
84,0.07475495338439941,108,96
85,0.09491300582885742,92,97
86,0.20176196098327637,97,106
87,0.09243607521057129,106,95
88,0.05252790451049805,92,93
89,0.2929260730743408,94,92
90,0.13646793365478516,97,107
91,0.11843705177307129,102,103
92,0.05167388916015625,101,95
93,0.12972497940063477,112,97
94,0.029142141342163086,97,108
95,0.03810596466064453,101,94
96,0.2338860034942627,96,108
97,0.05088496208190918,92,92
98,0.2756028175354004,102,95
99,0.07797098159790039,111,99
100,0.3615388870239258,114,99
101,0.04781818389892578,115,98
102,0.023356199264526367,91,92
103,0.30286407470703125,91,92
104,0.05785703659057617,114,100
105,0.06836295127868652,100,94
106,0.08188414573669434,97,105
107,0.10795092582702637,115,100
108,0.04100918769836426,90,92
109,0.025912046432495117,101,93
110,0.13155388832092285,116,98
111,0.03577613830566406,91,92
112,0.10472798347473145,117,98
113,0.05675983428955078,115,100
114,0.13423895835876465,106,94
115,0.04408407211303711,93,96
116,0.10982680320739746,115,101
117,0.12415003776550293,98,104
118,0.01430511474609375,98,100
