Particle#,Stick Time,Row,Column
1,0.5106611251831055,100,101
2,0.715705156326294,100,101
3,0.2277989387512207,100,102
4,0.19079089164733887,101,100
5,0.6723480224609375,99,101
6,1.0228838920593262,101,101
7,0.13858509063720703,101,99
8,1.228031873703003,101,100
9,0.16262197494506836,101,101
10,0.30142879486083984,101,102
11,0.6832840442657471,101,102
12,0.1142880916595459,100,100
13,1.8706209659576416,100,102
14,0.25879812240600586,101,100
15,0.6280999183654785,100,101
16,0.28093814849853516,99,100
17,0.5060288906097412,100,100
18,0.036585092544555664,98,100
19,0.6753079891204834,100,101
20,0.22804617881774902,101,98
21,0.8651540279388428,99,100
22,0.3172321319580078,100,100
23,0.28362393379211426,98,101
24,0.8817980289459229,98,101
25,0.2540919780731201,102,101
26,0.39598584175109863,102,99
27,0.11192703247070312,98,101
28,0.0283968448638916,103,99
29,0.3599879741668701,98,102
30,0.7576339244842529,100,103
31,0.47753214836120605,100,99
32,0.27042198181152344,101,97
33,0.12176203727722168,98,101
34,0.11411595344543457,102,101
35,0.09267687797546387,101,96
36,0.5260639190673828,101,95
37,0.22337818145751953,100,97
38,0.41150999069213867,98,101
39,0.04686307907104492,102,97
40,0.23980021476745605,102,102
41,0.2207801342010498,99,101
42,0.6338329315185547,101,94
43,0.08937716484069824,102,95
44,0.04726886749267578,102,103
45,0.011912822723388672,102,102
46,0.10058307647705078,99,102
47,0.2205500602722168,103,103
48,0.03677701950073242,103,98
49,0.08800601959228516,103,104
50,0.8557531833648682,101,93
51,0.19319820404052734,103,105
52,0.04346895217895508,102,104
53,0.18219590187072754,99,103
54,0.5920431613922119,98,100
55,0.3267660140991211,103,101
56,0.015889883041381836,101,92
57,0.6407761573791504,100,96
58,0.0536041259765625,98,99
59,0.40894103050231934,101,91
60,0.3422701358795166,102,104
61,0.12209916114807129,104,105
62,0.22180891036987305,98,98
63,0.10848307609558105,101,92
64,0.4726829528808594,98,103
65,0.6150028705596924,100,93
66,0.7033290863037109,100,91
67,0.2532079219818115,103,105
68,0.06249403953552246,104,104
69,0.3933999538421631,101,92
70,0.354935884475708,99,104
71,0.3264009952545166,101,90
72,0.6726870536804199,101,92
73,0.45786118507385254,98,100
74,0.12830400466918945,104,103
75,0.043984174728393555,103,106
76,0.022413015365600586,98,97
77,0.8051939010620117,101,90
78,0.09536194801330566,100,90
79,0.1835789680480957,100,89
80,0.10878109931945801,101,90
81,0.10743594169616699,100,89
82,0.19163203239440918,102,91
83,0.14001202583312988,100,97
84,0.2140979766845703,100,90
85,0.12510418891906738,103,107
86,0.4587578773498535,104,105
87,1.0769720077514648,103,98
88,0.32840681076049805,101,91
89,0.6289041042327881,101,90
90,0.13549089431762695,101,104
91,0.1573479175567627,101,93
92,0.2602219581604004,104,101
93,0.2176060676574707,103,105
94,0.28354597091674805,105,104
95,0.19318699836730957,104,107
96,0.14157509803771973,97,99
97,0.5882930755615234,99,97
98,0.6234180927276611,105,107
99,0.12153315544128418,99,93
100,0.05962395668029785,99,91
101,0.2245779037475586,98,99
102,0.07853007316589355,97,102
103,0.00902104377746582,105,103
104,0.18486499786376953,99,104
105,0.6586449146270752,100,90
106,0.07002115249633789,105,105
107,0.14399099349975586,103,108
108,0.3661160469055176,97,101
109,0.7313120365142822,102,106
110,0.4266510009765625,100,88
111,0.1115119457244873,102,92
112,0.6397261619567871,99,92
113,0.12438488006591797,99,103
114,0.34833717346191406,98,102
115,0.07994699478149414,103,91
116,0.0638430118560791,102,92
117,0.14423513412475586,103,92
118,0.24411511421203613,106,103
119,0.05283403396606445,104,91
120,0.3054540157318115,104,104
121,0.13503813743591309,100,104
122,0.03807783126831055,98,96
123,0.6515700817108154,103,109
124,0.24965500831604004,99,91
125,0.7787199020385742,102,91
126,0.3352229595184326,105,108
127,0.7447419166564941,103,98
128,0.5323700904846191,101,89
129,0.13411211967468262,99,92
130,0.1681690216064453,103,99
131,0.2506852149963379,100,89
132,0.36731386184692383,96,102
133,0.7747821807861328,103,97
134,0.17457103729248047,100,89
135,0.5226399898529053,100,87
136,0.2730109691619873,99,92
137,0.11892986297607422,102,108
138,0.3030669689178467,101,88
139,0.08070111274719238,101,100
140,0.6735050678253174,100,89
141,0.37215399742126465,99,87
142,0.8174881935119629,98,104
143,0.5401079654693604,97,97
144,1.1298549175262451,96,102
145,0.29935193061828613,104,100
146,0.1810929775238037,100,88
147,0.37148499488830566,106,107
148,0.2350788116455078,97,96
149,0.8104798793792725,101,88
150,0.31681203842163086,97,96
151,0.26030993461608887,98,102
152,0.10425591468811035,102,109
153,0.7062630653381348,99,91
154,0.025354862213134766,103,110
155,0.18329596519470215,97,97
156,0.060545921325683594,102,110
157,0.8140659332275391,99,86
158,1.2865040302276611,97,97
159,0.48070693016052246,101,87
160,0.07253885269165039,105,101
161,0.04228496551513672,99,92
162,0.8785529136657715,100,86
163,0.2097630500793457,97,98
164,0.23517894744873047,100,96
165,0.12395787239074707,104,104
166,0.3283400535583496,106,108
167,0.25287890434265137,98,100
168,0.19012999534606934,102,92
169,0.3844420909881592,102,87
170,0.13137102127075195,95,102
171,0.044213056564331055,104,92
172,0.1865379810333252,103,110
173,0.30065107345581055,103,87
174,0.06917500495910645,104,87
175,0.04346299171447754,107,108
176,0.1210930347442627,105,91
177,0.10501885414123535,107,107
178,0.05416607856750488,98,93
179,0.6903071403503418,98,103
180,0.30405688285827637,102,110
181,0.05295610427856445,107,109
182,1.0278029441833496,97,100
183,0.13636088371276855,106,109
184,0.15899014472961426,103,91
185,1.075740098953247,101,87
186,0.17348480224609375,102,106
187,0.028846025466918945,99,90
188,0.21973490715026855,107,109
189,0.5714170932769775,105,109
190,1.5076930522918701,102,111
191,1.1150879859924316,106,91
192,0.18674683570861816,105,107
193,0.5062549114227295,103,86
194,0.13921689987182617,99,93
195,0.26178503036499023,107,106
196,0.08604788780212402,104,110
197,0.24214696884155273,101,110
198,0.10567808151245117,96,97
199,0.1983189582824707,105,103
200,0.8553640842437744,97,102
201,0.33484601974487305,103,85
202,0.9301190376281738,98,95
203,0.6450188159942627,107,109
204,0.466871976852417,102,112
205,0.32551002502441406,102,96
206,0.09824895858764648,95,101
207,0.22866392135620117,95,102
208,0.15929198265075684,104,85
209,0.019994020462036133,104,109
210,0.6935081481933594,100,110
211,0.17042994499206543,100,110
212,0.0391230583190918,100,93
213,0.3407580852508545,108,107
214,0.04936695098876953,104,91
215,0.06588387489318848,98,86
216,0.10398697853088379,101,109
217,0.0314638614654541,95,102
218,0.23494696617126465,103,111
219,0.08217620849609375,103,87
220,0.46033382415771484,102,110
221,0.3713700771331787,103,92
222,0.057459115982055664,96,96
223,0.3418290615081787,103,87
224,0.056221961975097656,99,110
225,0.1115570068359375,99,87
226,0.07408809661865234,107,105
227,0.30285215377807617,105,85
228,0.24902701377868652,99,85
229,0.13019800186157227,104,93
230,0.6524720191955566,104,94
231,0.23548102378845215,105,109
232,0.24910593032836914,100,85
233,0.3034050464630127,98,87
234,0.018260955810546875,97,86
235,0.34591102600097656,104,91
